FY2021 UTILITY CONSUMPTION,,,,
,,,,
Sum of Usage,,,,
,E,G,O,S
847,"  39,166.0 ","  21,332.0 ",,
848,"  11,573.0 ",,"  2,799.2 ",
849,"  3,963.0 ",  415.0 ,,
851,"  5,992.0 ",  -   ,"  2,129.2 ",
896,"  19,279,200.0 ","  2,210,010.0 ",,
899,"  309,560.0 ",,,
900,"  12,835,200.0 ",,,
925,"  13,240.0 ",,,
930,"  548,040.0 ",,,
937,"  272,973.0 ","  10,085.0 ",,
939,"  16,006.0 ","  3,069.0 ",,
952,"  375,960.0 ","  21,498.0 ",,
953,"  23,740.0 ","  3,389.0 ",,
954,"  29,110.0 ","  3,835.0 ",,
955,"  29,448.0 ",,,
956,"  37,320.0 ",,,
957,"  7,246,560.0 ","  24,103.0 ",,
961,"  1,104,060.0 ",,,
962,"  791,546.0 ",  471.0 ,,
964,"  79,974.0 ","  4,200.0 ",,
966,"  318,865.0 ","  2,930.0 ",,
517,,,"  2,116.5 ",
FEN,"  3,294,104 ","  167,658 ",  -   ,  -   
967,"  126,240.0 ","  9,765.0 ",,
968,"  128,280.0 ","  8,298.0 ",,
969,"  970,864.0 ","  21,386.0 ",,
971,"  972,480.0 ","  22,589.0 ",,
972,"  325,320.0 ","  38,458.4 ",,
973,"  224,400.0 ","  13,389.0 ",,
975,  520.0 ,"  35,046.0 ",,
976,"  546,000.0 ","  18,727.0 ",,
MED,"  36,985,737 ","  114,930 ",  402 ,"  125,065 "
502,"  1,515,131.0 ",,,"  11,253.0 "
624,"  172,339.0 ",,,
639,"  414,949.0 ",,,"  13,307.0 "
642,"  56,655.0 ",,  401.9 ,
675,"  3,510,479.0 ",  61.0 ,,"  16,220.0 "
686,"  2,940,694.0 ","  5,314.0 ",,"  2,631.0 "
689,"  3,935,851.0 ",  5.0 ,,"  13,847.0 "
705,"  482,051.0 ",,,"  3,003.0 "
817,"  4,527,802.0 ",  57.0 ,,"  10,016.0 "
895,"  1,301,340.0 ","  73,051.0 ",,
904,"  8,054,304.0 ",  473.0 ,,"  40,784.0 "
909,"  616,568.0 ",,,"  2,265.0 "
918,"  974,160.0 ","  35,950.0 ",,
919,"  65,187.0 ",,,
923,"  7,640,880.0 ",  19.0 ,,"  11,739.0 "
927,"  777,347.0 ",,,
